New implementation with a smoothing algorithm using queue data structure:
Initial method: row iterations
    
    1st timing:
        Iteration 2/50: 0.13184579999995094
        Iteration 3/50: 0.13813709999999446
        Iteration 4/50: 0.14570760000003702
        Iteration 5/50: 0.11424319999991894
        Iteration 6/50: 0.12251100000003134
        Iteration 7/50: 0.12497270000005756
        Iteration 8/50: 0.11828349999996135
        Iteration 9/50: 0.17957849999993414
        Iteration 10/50: 0.14687049999997726
        Iteration 11/50: 0.11670939999999064
        Iteration 12/50: 0.11774629999990793
        Iteration 13/50: 0.12071819999994204
        Iteration 14/50: 0.13365439999995488
        Iteration 15/50: 0.12768359999995482
        Iteration 16/50: 0.16935479999995096
        Iteration 17/50: 0.15330500000004577
        Iteration 18/50: 0.12788019999993594
        Iteration 19/50: 0.16665530000000217
        Iteration 20/50: 0.11834550000003219
        Iteration 21/50: 0.20706280000001698
        Iteration 22/50: 0.19920160000003762
        Iteration 23/50: 0.18486859999995886
        Iteration 24/50: 0.11338920000002872
        Iteration 25/50: 0.1257808999999952
        Iteration 26/50: 0.11684419999994589
        Iteration 27/50: 0.10593740000001617
        Iteration 28/50: 0.1079220000000305
        Iteration 29/50: 0.10433100000000195
        Iteration 30/50: 0.10675330000003669
        Iteration 31/50: 0.14380470000003243
        Iteration 32/50: 0.11927489999993668
        Iteration 33/50: 0.09048080000002301
        Iteration 34/50: 0.11370210000006864
        Iteration 35/50: 0.12307539999994788
        Iteration 36/50: 0.13081550000003972
        Iteration 37/50: 0.17252540000004046
        Iteration 38/50: 0.15339800000003834
        Iteration 39/50: 0.13813170000003083
        Iteration 40/50: 0.12064809999992576
        Iteration 41/50: 0.10477049999997234
        Iteration 42/50: 0.13212010000006558
        Iteration 43/50: 0.12060539999993125
        Iteration 44/50: 0.14767910000000484
        Iteration 45/50: 0.12053279999997812
        Iteration 46/50: 0.13047419999998056
        Iteration 47/50: 0.1553468999999268
        Iteration 48/50: 0.12783839999997326
        Iteration 49/50: 0.10639419999995425
        Iteration 50/50: 0.1312391999999818
        Average: 0.13295899599998848
