Original implementation:
    1st timing:
        Iteration 32/50: 3.9425708999999642
        Iteration 33/50: 4.0796479000000545
        Iteration 34/50: 3.8692912000001343
        Iteration 35/50: 3.8134529999999813
        Iteration 36/50: 4.094761100000142
        Iteration 37/50: 4.068023000000039
        Iteration 38/50: 3.8870322000000215
        Iteration 39/50: 3.7889765999998417
        Iteration 40/50: 3.934488399999964
        Iteration 41/50: 3.7071149999999307
        Iteration 42/50: 4.278311000000031
        Iteration 43/50: 4.073523400000113
        Iteration 44/50: 3.9919351999999435
        Iteration 45/50: 3.68493350000017
        Iteration 46/50: 3.610917999999856
        Iteration 47/50: 3.650158600000168
        Iteration 48/50: 3.5899065000000974
        Iteration 49/50: 3.7018322000001262
        Iteration 50/50: 3.8298604000001433
        Average: 3.8624800560000176
